Descriptors,,,Core,,,,,,,,,,,,,,,,Supplemental,,,,,,,,,,,,,,,,Expansion,,
Item,Serving,Unit,g - mL,Kcal,Fat,Sat Fat,PUFA,MUFA,Na,K,Carb,Fiber,Sugar,Protein,VitA,VitC,Ca,Fe,VitD,VitE,VitK,B1,B2,B3,B6,B9,B12,Cu,I,Mg,Mn,P,Se,Zn,ω-3,Sol Fiber,
Tomatoes (Canned Petite Diced),14.5,oz,411,102,0,0,,,679,883,20,6.8,10,3.4,27%,68%,6.8%,13.5%,,20%,,,,,,,,,,,27%,,,,,,
Tomatoes (Canned Whole Peeled Salted),28,oz,794,163,0,0,,,1235,,33,6.5,19.5,6.5,65%,26%,13%,26%,,,,,,,,,,,,,,,,,,,
Tuna (Solid White Canned In Water),2,oz,56,60,1,0,0,0,140,75,0,0,0,13,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Vanilla Extract,1,cup,208,599,0,0,,,19,308,26,0,26,0,0%,0%,2%,1%,,,,2%,12%,4%,3%,,,7%,,6%,24%,1%,,,,,
Vegetable Juice (Low Sodium),5.5,oz,163,30,0,0,,,95,700,7,1,5,1,25%,80%,2%,2%,,,,,,,,,,,,,,,,,,,
Vinegar (Balsamic),1,tbsp,15,13,0,,,,0,,2,,2,0,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Vinegar (Sushi),1,tbsp,15,20,0,0,,,490,,6,,6,0,,,,,,,,,,,,,,,,,,,,,,,
Walnuts,0.25,cup,30,200,20,2,14,2.5,0,130,4,2,1,5,0%,0%,2%,4%,,,,,,,8%,7%,,25%,,10%,50%,10%,,,2542,,
Wok Sauce (Fusia General Tso),1,tbsp,15,25,0,,,,170,,6,,5,0,,,,,,,,,,,,,,,,,,,,,,,
Wok Sauce (Fusia Sesame Teriyaki),1,tbsp,15,30,0,,,,330,,7,,6,0,,,,,,,,,,,,,,,,,,,,,,,
Worcestershire Sauce,1,tsp,5,0,0,0,0,0,65,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Yogurt (Greek 0% Plain),8,oz,227,130,0,0,,,105,,11,,6,22,0%,0%,25%,0%,,,,,,,,,,,,,,,,,,,
